match_id,elapsed_time,p1_games,p2_games,p1-2_games,p2-1_games,p1_score,p2_score,p1-2_score,p2-1_score,P1server,P2server,p1_ace,p2_ace,p1_fault,p2_fault,p1_err,p2_err,p1_distance_sum,p2_distance_sum,p1_distance,p2_distance,point_victor,game_victor
1301,0:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,6.0,7.84,6.0,7.84,2,0
1301,0:00:38,0,0,0,0,0,15,-15,15,1,0,0,0,0,0,0,0,11.253,14.934000000000001,5.253,7.094,1,0
1301,0:01:01,0,0,0,0,15,15,0,0,1,0,0,0,0,0,-1,0,25.053,34.742000000000004,13.8,19.808,2,0
1301,0:01:31,0,0,0,0,15,30,-15,15,1,0,0,0,0,0,0,0,76.161,110.373,51.108,75.631,1,0
1301,0:02:21,0,0,0,0,30,30,0,0,1,0,1,0,0,0,0,0,76.81,111.186,0.649,0.813,1,0
1301,0:02:50,0,0,0,0,40,30,10,-10,1,0,0,0,0,0,0,0,82.101,115.435,5.291,4.249,2,0
1301,0:03:33,0,0,0,0,40,40,0,0,1,0,1,0,0,0,0,0,88.918,133.256,6.817,17.821,1,0
1301,0:04:01,0,0,0,0,55,40,15,-15,1,0,0,0,0,0,0,0,106.421,151.32299999999998,17.503,18.067,2,0
1301,0:04:48,0,0,0,0,40,40,0,0,1,0,0,0,0,0,0,0,140.91,175.91699999999997,34.489,24.594,1,0
1301,0:05:32,0,0,0,0,55,40,15,-15,1,0,0,0,0,0,0,0,162.14499999999998,203.34399999999997,21.235,27.427,1,1
1301,0:07:05,1,0,1,-1,0,0,0,0,0,1,0,1,0,0,0,0,167.92999999999998,208.25899999999996,5.785,4.915,2,0
1301,0:07:28,1,0,1,-1,0,15,-15,15,0,1,0,0,0,0,0,0,187.67399999999998,226.50299999999996,19.744,18.244,1,0
1301,0:08:06,1,0,1,-1,15,15,0,0,0,1,0,0,0,0,0,-1,213.68699999999998,245.12899999999996,26.013,18.626,1,0
1301,0:08:41,1,0,1,-1,30,15,15,-15,0,1,0,0,0,0,0,0,224.35399999999998,252.24099999999996,10.667,7.112,2,0
1301,0:09:11,1,0,1,-1,30,30,0,0,0,1,0,0,0,0,0,0,227.753,254.47799999999995,3.399,2.237,2,0
1301,0:09:37,1,0,1,-1,30,40,-10,10,0,1,0,0,0,0,0,0,233.05300000000003,258.78499999999997,5.3,4.307,1,0
1301,0:10:20,1,0,1,-1,40,40,0,0,0,1,0,0,0,0,0,0,238.29800000000003,264.284,5.245,5.499,2,0
1301,0:10:45,1,0,1,-1,40,55,-15,15,0,1,0,0,0,0,0,0,253.49200000000002,280.878,15.194,16.594,2,2
1301,0:11:24,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,254.39100000000002,281.95099999999996,0.899,1.073,1,0
1301,0:11:47,1,1,0,0,15,0,15,-15,1,0,0,0,0,0,0,0,272.47900000000004,316.707,18.088,34.756,1,0
1301,0:12:17,1,1,0,0,30,0,30,-30,1,0,0,0,0,0,0,0,279.76700000000005,327.525,7.288,10.818,2,0
1301,0:12:44,1,1,0,0,30,15,15,-15,1,0,0,0,0,0,0,-1,321.93300000000005,360.469,42.166,32.944,1,0
1301,0:13:26,1,1,0,0,40,15,25,-25,1,0,0,0,0,0,0,0,325.71500000000003,364.948,3.782,4.479,1,1
1301,0:15:31,2,1,1,-1,0,0,0,0,0,1,0,0,0,0,-1,0,338.31600000000003,378.661,12.601,13.713,2,0
1301,0:16:15,2,1,1,-1,0,15,-15,15,0,1,0,0,0,0,0,0,353.24100000000004,392.637,14.925,13.976,2,0
1301,0:16:47,2,1,1,-1,0,30,-30,30,0,1,0,1,0,0,0,0,354.14400000000006,393.704,0.903,1.067,2,0
1301,0:17:08,2,1,1,-1,0,40,-40,40,0,1,0,0,0,0,0,0,374.17100000000005,401.106,20.027,7.402,2,2
1301,0:17:49,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,389.523,430.472,15.352,29.366,1,0
1301,0:18:25,2,2,0,0,15,0,15,-15,1,0,0,0,0,0,0,0,393.80800000000005,438.748,4.285,8.276,1,0
